code,name,market,price,adr_pct,prior_rally,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,ep,strong_trend,score
2351,順德,TWSE,180.0,7.97,140.0,1838.3,0.55,-1.1,True,True,True,False,True,11
2399,映泰,TWSE,45.45,7.03,116.4,1072.6,0.53,-3.71,True,True,True,False,True,11
3711,日月光投控,TWSE,547.0,5.17,83.6,12154.3,0.78,-0.18,True,True,True,False,True,10
8028,昇陽半導體,TWSE,287.5,6.94,82.0,4707.5,1.89,9.94,False,False,False,True,True,10
6285,啟碁,TWSE,260.0,6.7,73.9,7551.0,0.67,-0.76,True,True,True,False,True,10
3048,益登,TWSE,56.1,5.1,65.7,414.3,2.72,10.0,False,False,False,True,True,10
3406,玉晶光,TWSE,588.0,4.89,52.3,1206.2,3.51,5.0,True,False,False,True,True,10
6451,訊芯-KY,TWSE,577.0,8.63,247.6,1854.9,1.65,9.9,True,False,False,False,True,9
3026,禾伸堂,TWSE,327.0,8.53,223.8,2524.8,0.28,-8.53,False,True,False,False,True,9
6831,邁科,TWSE,725.0,7.69,208.8,1159.8,0.38,0.42,False,True,False,False,True,9
3583,辛耘,TWSE,888.0,7.88,193.1,2737.9,1.09,-4.41,True,False,False,False,True,9
6531,愛普*,TWSE,1080.0,8.7,175.9,6136.2,1.32,2.86,True,False,False,False,True,9
4958,臻鼎-KY,TWSE,401.0,7.98,154.6,23456.1,0.84,-8.13,True,True,True,False,False,9
2360,致茂,TWSE,2240.0,6.84,141.4,9588.0,0.7,-0.88,True,True,True,False,False,9
8021,尖點,TWSE,441.5,6.17,131.8,1986.8,2.33,-9.99,True,False,False,False,True,9
6415,矽力*-KY,TWSE,468.0,6.62,107.5,3401.3,1.48,-6.96,True,False,False,False,True,9
2337,旺宏,TWSE,162.5,7.76,104.4,30728.1,0.65,-3.85,False,True,False,False,True,9
3305,昇貿,TWSE,138.5,5.55,45.6,936.5,2.8,9.92,False,False,False,True,True,9
2441,超豐,TWSE,106.5,5.81,34.6,1481.2,2.38,5.45,False,False,False,True,True,9
6239,力成,TWSE,248.0,5.52,33.7,4862.2,2.6,8.3,False,False,False,True,True,9
7769,鴻勁,TWSE,6895.0,6.17,99.9,8112.6,0.58,-8.8,False,True,False,False,True,8
2492,華新科,TWSE,206.0,7.19,82.3,3342.1,0.63,-6.36,False,True,False,False,True,8
2451,創見,TWSE,336.0,6.48,75.5,3575.2,0.62,-2.47,False,True,False,False,True,8
8210,勤誠,TWSE,1410.0,7.13,70.5,4492.4,0.47,-3.42,False,True,False,False,True,8
1560,中砂,TWSE,642.0,5.53,66.3,1804.5,0.79,-1.23,False,True,False,False,True,8
6446,藥華藥,TWSE,826.0,4.13,42.9,1992.9,2.49,5.63,False,False,False,True,True,8
2383,台光電,TWSE,4615.0,5.94,150.8,13604.6,0.87,-6.2,True,False,False,False,False,7
7750,新代,TWSE,2555.0,7.12,150.0,1775.8,1.21,-6.92,True,False,False,False,False,7
3037,欣興,TWSE,821.0,6.44,149.5,19522.0,1.37,-6.81,True,False,False,False,False,7
6278,台表科,TWSE,220.5,9.52,138.4,3187.8,2.59,-2.43,False,False,False,False,True,7
