code,name,market,price,adr_pct,prior_rally,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,ep,strong_trend,score,consol_high,consol_low,entry_price,stop_price,avg_volume_20d
3583,辛耘,TWSE,890.0,7.73,183.4,2724.6,0.48,0.23,True,True,True,False,True,11,1010.0,715.0,1010.0,847.0,3216938
2464,盟立,TWSE,139.0,8.47,124.6,3071.3,2.07,9.88,False,False,False,True,True,11,139.0,89.2,139.0,119.0,27644738
2327,國巨*,TWSE,501.0,6.3,108.7,18860.1,1.82,9.99,False,False,False,True,True,11,501.0,292.5,501.0,467.5,49690995
6449,鈺邦,TWSE,272.5,6.01,85.4,486.1,4.08,3.61,False,False,False,True,True,10,280.0,153.0,272.5,254.0,2223161
6451,訊芯-KY,TWSE,520.0,8.95,213.3,2019.5,1.8,-9.88,True,False,False,False,True,9,583.0,362.0,583.0,443.5,4111814
6531,愛普*,TWSE,1120.0,8.87,186.1,6217.4,0.88,3.7,True,False,False,False,True,9,1145.0,710.0,1145.0,903.0,7061151
2454,聯發科,TWSE,3545.0,6.46,147.9,39661.0,0.35,8.74,False,True,False,False,True,9,3985.0,2410.0,3985.0,3150.0,14259008
7750,新代,TWSE,2510.0,6.95,135.4,1798.1,0.78,-1.76,True,True,True,False,False,9,3070.0,2100.0,3070.0,2480.0,738692
6415,矽力*-KY,TWSE,514.0,6.47,127.9,3309.2,0.9,9.83,True,False,False,False,True,9,514.0,391.0,514.0,454.0,7629031
6278,台表科,TWSE,210.5,9.52,127.6,3154.0,1.09,-4.54,True,False,False,False,True,9,243.0,141.0,243.0,200.0,16192160
8271,宇瞻,TWSE,235.0,5.88,123.8,1204.1,0.49,-2.89,True,True,True,False,False,9,271.0,192.5,271.0,228.0,5147287
2467,志聖,TWSE,587.0,7.75,121.1,1514.4,0.44,0.0,True,True,True,False,False,9,653.0,485.0,653.0,561.0,2585312
1727,中華化,TWSE,87.6,8.59,116.3,1367.1,1.85,0.23,True,False,False,False,True,9,90.0,66.0,90.0,75.3,17987526
2303,聯電,TWSE,111.5,6.91,111.2,23096.8,0.79,1.36,False,True,False,False,True,9,118.0,70.7,118.0,94.3,258030333
3135,凌航,TWSE,206.5,7.35,106.5,1515.6,0.19,-4.4,False,True,False,False,True,9,240.5,133.0,240.5,199.5,9148036
2376,技嘉,TWSE,341.0,4.12,65.1,4079.6,2.45,4.44,False,False,False,True,True,9,351.0,270.5,341.0,328.0,13227135
6139,亞翔,TWSE,709.0,5.31,48.5,2934.7,0.61,2.31,True,True,True,False,True,9,754.0,655.0,754.0,663.0,4174862
6209,今國光,TWSE,67.2,6.38,39.4,663.6,0.6,0.3,True,True,True,False,True,9,74.3,61.9,74.3,61.9,9969521
3035,智原,TWSE,192.0,6.41,38.1,3668.4,0.47,1.05,True,True,True,False,True,9,210.5,167.0,210.5,177.0,19769007
2409,友達,TWSE,19.3,5.28,37.9,5013.5,0.57,1.31,True,True,True,False,True,9,20.7,16.6,20.7,18.2,266474882
2359,所羅門,TWSE,141.5,5.61,34.8,508.4,5.51,4.81,False,False,False,True,True,9,145.0,105.0,141.5,130.0,3971247
2345,智邦,TWSE,2475.0,5.67,98.8,12430.5,0.44,-1.2,True,True,True,False,False,8,2695.0,2105.0,2695.0,2375.0,5245854
7769,鴻勁,TWSE,6635.0,6.42,92.3,7876.1,0.41,-3.77,False,True,False,False,True,8,7995.0,4770.0,7995.0,6360.0,1396008
2492,華新科,TWSE,217.0,7.22,92.0,3294.2,0.39,5.34,False,True,False,False,True,8,222.5,124.0,222.5,167.5,19415660
6285,啟碁,TWSE,286.0,6.96,91.3,7403.9,1.27,10.0,True,False,False,False,True,8,286.0,200.0,286.0,254.0,30149821
3645,達邁,TWSE,105.5,8.45,90.8,1502.1,0.57,-0.47,True,True,True,False,False,8,119.0,91.7,119.0,100.5,14062861
3006,晶豪科,TWSE,245.5,7.5,86.0,5411.5,0.7,-2.19,False,True,False,False,True,8,261.0,156.5,261.0,210.0,27731109
6257,矽格,TWSE,218.5,5.39,85.2,3173.7,0.66,0.69,False,True,False,False,True,8,226.0,172.5,226.0,204.0,16108696
