code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
8358,金居,TPEx,613.0,7.21,599.1,533.92,86.9,2.3,0.3,5458.8,0.19,-0.68,True,True,True,48,C,1.0,0.3,0.6,0.0,0.81,0.65,False,0.0,0.0,60,False,False,False,0,True,A,17,687.0,515.0,7.7,True,687.0,515.0,9988524,7.3,True,96,96,0,0,56.2,176.7,leader,63.9,False,False,加速,63→61→64,8.5,4.5,1
6173,信昌電,TPEx,230.0,7.4,226.0,201.75,232.4,1.8,0.2,328.6,0.77,6.43,True,True,True,75,A,1.0,1.0,1.0,0.0,0.48,0.46,False,0.0,0.0,60,False,False,False,0,True,A,14,256.5,200.0,12.3,True,256.5,200.0,1715021,-5.2,False,99,99,0,0,92.6,302.8,leader,68.4,False,False,維持,71→63→68,6.7,-0.3,1
6175,立敦,TPEx,104.5,8.65,98.3,89.26,75.0,6.3,0.7,1210.6,1.72,-0.97,True,False,False,32,C,1.0,0.0,0.3,0.0,1.22,0.81,False,0.0,0.0,60,False,False,False,0,True,A,14,115.5,83.7,13.8,True,115.5,83.7,13320372,9.6,True,94,94,0,0,55.0,134.0,leader,69.5,False,False,加速,64→67→69,18.9,12.6,1
3236,千如,TPEx,56.6,7.53,54.67,50.38,122.9,3.5,0.5,495.8,0.23,0.37,True,True,True,75,A,1.0,1.0,1.0,0.0,0.12,0.38,False,0.0,0.0,60,False,False,False,0,True,B,13,62.0,47.8,23.4,True,62.0,47.8,10766425,-9.6,False,93,93,0,0,49.1,106.6,leader,66.7,False,False,加速,64→62→67,9.9,6.0,1
3624,光頡,TPEx,112.5,9.43,108.05,96.6,106.0,4.1,0.4,1456.8,1.6,-5.02,True,False,False,50,B,1.0,0.0,1.0,0.0,1.13,0.59,False,0.0,0.0,60,False,False,False,0,True,A,13,122.0,89.0,11.0,True,122.0,93.2,15575303,14.5,True,94,94,0,0,67.8,148.3,leader,67.4,False,False,維持,68→62→67,8.7,2.3,1
3537,堡達,TPEx,81.8,7.25,77.31,68.54,81.3,5.8,0.8,414.9,1.4,-7.79,True,False,False,57,B,1.0,0.0,1.0,0.3,1.34,0.5,False,0.0,0.0,60,False,False,False,0,True,A,13,85.9,65.4,14.7,True,85.9,71.0,5705626,12.6,True,89,89,0,0,56.2,95.7,leader,67.4,False,True,轉弱,75→64→67,7.6,-1.8,1
4973,廣穎,TPEx,176.0,6.32,162.0,138.95,71.3,8.6,1.4,844.8,0.33,2.78,False,True,False,65,B,1.0,1.0,0.0,0.6,0.4,1.18,False,0.0,0.0,60,False,False,False,0,True,A,13,178.5,138.5,-6.9,True,178.5,154.5,6234048,25.6,True,97,97,0,0,75.6,191.3,leader,73.5,False,False,轉弱,79→68→73,0.0,-9.9,1
5289,宜鼎,TPEx,1990.0,6.7,1834.0,1790.5,97.4,8.5,1.3,7607.6,1.42,1.65,False,False,False,50,B,1.0,0.0,0.0,1.0,1.01,1.29,True,0.78,1.42,60,False,False,False,0,True,B,12,1990.0,1585.0,18.1,True,1990.0,1585.0,4225632,7.7,True,92,92,0,0,44.2,134.9,leader,66.9,False,False,維持,56→59→67,4.5,-1.7,1
5864,致和證,TPEx,46.35,5.75,45.9,38.98,46.5,1.0,0.2,411.2,2.12,-6.17,False,False,False,25,C,1.0,0.0,0.0,0.0,1.79,2.47,False,0.0,0.0,60,False,False,False,0,True,A,12,53.6,35.8,-1.0,True,53.6,43.5,9804577,23.9,True,92,92,0,0,51.5,98.9,leader,65.6,False,False,轉弱,90→71→66,-8.4,-22.6,1
8289,泰藝,TPEx,70.7,8.25,70.32,64.74,86.5,0.5,0.1,448.4,1.05,-4.45,True,False,False,55,B,1.0,0.6,0.6,0.0,0.63,0.72,False,0.0,0.0,60,False,False,False,0,True,B,11,78.0,60.7,17.3,True,78.0,60.7,6767095,0.3,False,93,93,0,0,41.3,111.7,leader,62.8,False,False,維持,60→57→63,3.7,1.7,1
3221,台嘉碩,TPEx,63.9,8.41,58.41,53.68,64.9,9.4,1.1,760.9,2.08,-2.35,True,False,False,75,A,1.0,0.0,1.0,1.0,1.3,0.41,True,1.0,2.08,60,False,False,False,0,True,B,11,63.9,51.4,17.1,True,63.9,51.4,13741128,2.4,False,95,95,0,0,44.3,130.7,leader,68.6,False,True,加速,60→62→69,15.6,10.9,1
3357,臺慶科,TPEx,299.0,9.08,286.0,263.05,87.4,4.5,0.5,2515.5,1.9,-0.17,True,False,False,57,B,1.0,0.0,1.0,0.3,1.06,0.39,False,0.0,0.0,60,False,False,False,0,True,A,10,314.5,254.0,14.8,True,314.5,254.0,9534315,2.4,False,88,88,0,0,51.3,112.1,leader,68.3,False,True,加速,71→64→68,10.5,4.0,1
8043,蜜望實,TPEx,192.5,9.15,153.65,135.32,74.4,25.3,2.8,3066.1,0.09,10.0,False,True,False,40,C,1.0,0.3,0.0,0.3,0.95,1.1,False,0.0,0.0,60,False,False,False,0,True,C,10,192.5,120.0,13.4,True,192.5,138.0,22823640,44.3,True,98,98,0,0,95.0,202.7,leader,79.2,False,False,加速,71→75→79,32.8,13.5,1
4931,新盛力,TPEx,277.5,8.53,241.55,219.9,73.7,14.9,1.7,3500.4,2.48,4.32,False,False,False,32,C,1.0,0.0,0.0,0.3,1.72,1.11,False,0.0,0.0,60,False,False,False,0,True,B,10,287.0,205.5,13.7,True,287.0,223.0,15358797,24.9,True,90,90,0,0,60.7,112.6,leader,72.9,False,False,維持,65→71→73,6.7,-2.0,1
4542,科嶠,TPEx,345.5,8.22,274.4,256.18,82.8,25.9,3.2,379.9,0.35,9.86,False,True,False,32,C,1.0,0.0,0.0,0.3,1.84,1.08,False,0.0,0.0,60,False,False,False,0,True,C,9,345.5,224.0,24.8,True,345.5,224.0,1398154,14.9,True,92,92,0,0,66.7,125.6,leader,74.9,False,False,加速,65→71→75,32.9,15.8,1
