code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
6166,凌華,TWSE,133.5,6.85,126.5,111.97,112.5,5.5,0.8,537.0,0.77,0.0,True,True,True,65,B,1.0,0.6,1.0,0.0,0.62,0.55,False,0.0,0.0,60,True,False,True,18,True,A,22,145.0,110.5,8.3,True,145.0,123.5,4815030,9.0,True,90,90,0,0,64.4,134.2,leader,79.9,False,False,轉弱,78→79→80,-1.8,-10.1,2
6415,矽力*-KY,TWSE,606.0,7.52,584.7,522.7,92.5,3.6,0.5,4236.6,0.71,-4.61,False,True,False,25,C,1.0,0.0,0.0,0.0,1.15,2.0,False,0.0,0.0,60,False,False,False,0,True,A,15,693.0,465.0,9.5,True,693.0,585.0,7929348,4.1,True,94,94,0,0,58.9,162.4,leader,66.5,False,False,轉弱,70→66→66,-8.9,-13.8,3
4919,新唐,TWSE,208.0,8.69,192.05,179.25,129.1,8.3,1.0,5683.6,0.12,1.27,False,True,False,40,C,1.0,0.6,0.0,0.0,0.69,1.57,False,0.0,0.0,60,False,False,False,0,True,B,14,230.0,141.0,28.4,True,230.0,184.0,30864172,23.1,True,97,97,0,0,58.1,184.9,leader,64.3,False,False,維持,59→60→64,0.7,-3.0,1
2351,順德,TWSE,202.0,7.49,200.3,188.28,99.4,0.8,0.1,1722.8,0.77,-9.44,False,True,False,25,C,1.0,0.0,0.0,0.0,1.08,1.34,False,0.0,0.0,60,False,False,False,0,True,A,14,233.0,169.0,14.2,True,233.0,198.5,9084094,4.0,True,95,95,0,0,45.8,153.1,leader,61.2,False,False,轉弱,73→65→61,-11.8,-18.8,3
3037,欣興,TWSE,1050.0,6.72,980.1,921.1,84.1,7.1,1.1,24502.1,0.72,-2.28,False,True,False,32,C,1.0,0.3,0.0,0.0,0.86,1.92,False,0.0,0.0,60,False,False,False,0,True,B,14,1130.0,793.0,16.4,True,1130.0,989.0,26687385,15.1,True,92,92,0,0,49.1,169.9,leader,68.4,False,False,轉弱,67→69→68,-2.8,-7.0,1
5285,界霖,TWSE,89.4,5.68,84.82,75.89,61.5,5.4,1.0,336.7,0.92,-4.79,True,False,False,40,C,1.0,0.0,0.6,0.0,2.22,0.75,False,0.0,0.0,60,False,False,False,0,True,A,14,96.0,73.8,4.4,True,96.0,82.5,4106026,4.0,True,82,82,0,0,51.6,94.3,leader,82.3,False,False,維持,85→85→82,-0.7,-2.2,1
2426,鼎元,TWSE,77.0,7.21,76.56,72.45,127.8,0.6,0.1,1212.6,1.22,-5.32,False,False,False,25,C,1.0,0.0,0.0,0.0,1.74,1.08,False,0.0,0.0,60,False,False,False,0,True,B,13,88.8,64.12,18.3,True,88.8,73.5,15800953,11.8,True,99,99,0,0,49.4,271.5,leader,61.1,False,False,維持,67→68→61,-1.0,-3.9,1
4958,臻鼎-KY,TWSE,548.0,6.99,498.3,456.85,121.4,10.0,1.4,19183.4,0.3,5.24,False,True,False,48,C,1.0,0.6,0.0,0.3,0.51,1.65,False,0.0,0.0,60,False,False,False,0,True,B,13,568.0,394.0,16.4,True,568.0,479.0,42595863,20.9,True,97,97,0,0,71.3,237.2,leader,69.9,False,True,轉弱,62→66→70,3.0,-4.8,1
6451,訊芯-KY,TWSE,627.0,8.95,556.85,525.5,102.4,12.6,1.4,3375.7,0.9,-3.05,False,False,False,40,C,1.0,0.3,0.0,0.3,0.98,1.01,False,0.0,0.0,60,False,False,False,0,True,B,13,653.0,472.0,19.0,True,653.0,556.0,6409152,7.7,True,98,98,0,0,54.8,266.7,leader,64.4,False,False,維持,59→59→64,4.2,0.7,3
3450,聯鈞,TWSE,539.0,7.91,474.8,440.55,95.2,13.5,1.7,5636.7,0.8,-0.3,False,True,False,52,B,1.0,0.3,0.3,0.5,0.8,0.89,True,0.99,0.8,60,False,False,False,0,True,B,13,539.0,391.0,16.9,True,539.0,471.5,13287751,17.0,True,83,83,0,0,57.1,123.7,leader,68.5,False,True,轉弱,62→63→69,7.6,2.4,2
1809,中釉,TWSE,47.9,7.32,43.0,40.01,77.8,11.4,1.6,438.3,1.2,-1.47,True,False,False,65,B,1.0,0.3,1.0,0.3,0.93,0.59,False,0.0,0.0,60,False,False,False,0,True,B,13,50.0,38.3,12.1,True,50.0,40.55,11293316,6.9,True,83,83,0,0,53.6,102.1,leader,68.5,False,False,維持,60→63→69,7.9,1.6,1
