code,name,market,rs_rating,mom_trend,rsi14_3d,ret_3d_pct
2330,台積電,TWSE,30,加速,52→57→59,2.3
2408,南亞科,TWSE,20,加速,52→57→60,13.1
3037,欣興,TWSE,91,加速,56→65→70,18.6
4958,臻鼎-KY,TWSE,94,加速,66→70→75,26.3
2344,華邦電,TWSE,18,加速,55→54→61,6.4
2308,台達電,TWSE,60,加速,44→52→56,9.4
2303,聯電,TWSE,72,轉弱,70→74→71,0.9
2454,聯發科,TWSE,88,加速,60→67→71,22.3
3481,群創,TWSE,78,加速,69→74→79,19.2
3189,景碩,TWSE,83,加速,57→65→71,18.7
2313,華通,TWSE,37,加速,52→53→59,8.6
8046,南電,TWSE,82,加速,52→57→62,17.0
6531,愛普*,TWSE,93,轉弱,59→50→57,-6.0
3443,創意,TWSE,87,加速,55→62→63,15.1
2327,國巨*,TWSE,88,加速,85→88→90,26.6
2337,旺宏,TWSE,46,維持,46→46→50,3.8
2345,智邦,TWSE,77,維持,53→58→57,3.3
2317,鴻海,TWSE,22,維持,56→61→63,2.0
6669,緯穎,TWSE,57,加速,54→62→65,13.0
2382,廣達,TWSE,27,維持,35→46→50,9.0
2383,台光電,TWSE,91,加速,53→60→66,10.4
3090,日電貿,TWSE,89,加速,88→90→92,32.3
4919,新唐,TWSE,97,加速,59→65→70,33.0
3711,日月光投控,TWSE,58,加速,47→55→64,18.9
3017,奇鋐,TWSE,70,維持,43→51→54,6.5
2481,強茂,TWSE,64,維持,70→70→70,-1.1
2455,全新,TWSE,89,加速,66→61→68,11.0
3661,世芯-KY,TWSE,57,加速,58→63→62,10.5
2472,立隆電,TWSE,91,加速,76→79→75,12.1
2404,漢唐,TWSE,32,加速,57→67→72,12.1
3231,緯創,TWSE,26,加速,41→53→59,9.1
2409,友達,TWSE,50,加速,53→61→69,15.9
6285,啟碁,TWSE,66,維持,62→62→66,1.4
2368,金像電,TWSE,67,維持,47→51→54,3.5
6239,力成,TWSE,25,加速,55→64→70,24.7
2449,京元電子,TWSE,7,維持,42→46→50,2.4
3006,晶豪科,TWSE,56,維持,59→59→64,0.6
3167,大量,TWSE,97,維持,59→56→62,6.0
1303,南亞,TWSE,11,維持,40→52→51,6.1
3533,嘉澤,TWSE,66,維持,45→52→53,9.9
3008,大立光,TWSE,60,轉弱,65→71→72,5.2
6139,亞翔,TWSE,56,維持,58→66→63,4.2
0050,元大台灣50,TWSE,37,加速,56→64→67,4.5
6770,力積電,TWSE,5,加速,48→51→59,9.1
2301,光寶科,TWSE,23,維持,59→59→61,0.2
3702,大聯大,TWSE,78,加速,72→76→65,8.8
3665,貿聯-KY,TWSE,74,維持,34→43→45,11.8
6442,光聖,TWSE,9,維持,42→42→47,7.8
