code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
RDDT,RDDT,US,176.0,6.0,155.31,158.44,37.7,13.3,2.2,971.1,1.54,0.59,False,False,False,50,B,1.0,0.0,0.0,1.0,1.16,1.38,True,0.72,1.54,60,True,False,True,20,False,C,15,176.69,139.55,21.2,True,176.69,139.55,6090940,8.2,True,47,75,12,63,18.4,44.5,laggard,63.2,True,False,加速,51→59→63,21.7,20.2,1
MDB,MDB,US,335.55,5.3,321.26,303.75,47.1,4.4,0.8,843.7,3.94,5.62,True,False,False,40,C,1.0,0.0,0.3,0.3,3.23,0.85,False,0.0,0.0,60,False,False,False,0,True,A,11,352.59,292.72,7.7,True,352.59,292.72,2686935,8.4,True,56,79,16,63,23.5,48.5,laggard,63.3,False,False,加速,50→61→63,9.2,7.3,1
HOOD,HOOD,US,94.3,5.18,78.32,77.97,25.0,20.4,3.9,1989.0,2.58,0.87,False,False,False,50,B,1.0,0.0,0.0,1.0,1.62,2.39,True,0.85,2.58,60,False,False,False,0,True,C,7,94.4,73.18,10.7,True,94.4,73.26,24937550,17.3,True,36,71,8,63,22.7,44.7,laggard,69.1,True,False,加速,49→61→69,27.3,24.4,1
CVNA,CVNA,US,73.0,5.28,68.38,71.83,38.0,6.8,1.3,792.3,1.5,-2.02,False,False,False,32,C,1.0,0.0,0.0,0.3,1.09,1.17,False,0.0,0.0,60,False,False,False,0,False,C,7,75.11,61.09,25.5,True,75.11,64.66,11000135,3.5,True,46,63,26,37,5.6,29.8,laggard,53.1,False,False,維持,53→54→53,4.1,5.1,1
TSLA,TSLA,US,435.79,3.51,424.93,421.39,34.4,2.6,0.7,22162.2,0.86,-0.93,True,False,False,55,B,1.0,0.3,0.6,0.3,0.77,0.67,False,0.0,0.0,60,False,False,False,0,True,A,6,445.6,393.63,13.2,True,445.6,420.51,52575110,-1.4,False,46,60,32,28,10.9,27.0,laggard,60.0,False,False,維持,63→64→60,0.5,-0.8,1
BIDU,BIDU,US,135.31,3.92,132.9,135.48,41.7,1.8,0.5,412.3,0.94,0.25,True,False,False,48,C,1.0,0.3,0.6,0.0,0.93,0.69,False,0.0,0.0,60,False,False,False,0,False,C,6,143.36,124.85,18.1,True,143.36,124.85,3002620,-2.6,False,61,68,49,19,9.0,26.9,laggard,54.0,False,False,維持,48→51→54,6.7,9.0,1
APH,APH,US,148.76,4.11,132.21,132.47,20.8,12.5,3.0,1625.5,1.11,0.4,False,False,False,32,C,1.0,0.0,0.0,0.3,1.24,1.37,False,0.0,0.0,60,False,False,False,0,False,C,6,151.62,118.01,19.5,True,151.62,127.12,12315345,15.0,True,55,62,47,15,9.8,24.9,laggard,63.5,True,False,加速,57→63→63,6.6,7.1,1
MSTR,MSTR,US,159.09,5.19,162.41,173.58,69.2,-2.0,-0.4,2633.9,1.27,-2.41,False,False,False,32,C,1.0,0.3,0.0,0.0,0.94,1.62,False,0.0,0.0,60,False,False,False,0,False,C,5,182.23,144.3,26.8,True,182.23,144.3,15101310,-13.9,False,48,67,23,44,3.8,32.8,laggard,45.8,False,False,維持,41→40→46,-0.5,1.1,1
RIVN,RIVN,US,16.3,4.54,14.27,14.33,17.5,14.2,3.1,467.9,1.82,-0.26,False,False,False,57,B,1.0,0.3,0.0,1.0,0.94,1.79,True,0.72,1.82,60,False,False,False,0,False,C,5,16.6,12.65,21.1,True,16.6,14.07,32518195,14.5,True,40,59,25,34,6.3,26.4,laggard,63.3,True,False,加速,50→55→63,13.3,16.1,1
UAL,UAL,US,114.8,3.97,102.05,99.01,19.8,12.5,3.1,612.4,1.17,-0.35,False,False,False,40,C,1.0,0.0,0.0,0.6,1.18,2.06,False,0.0,0.0,60,False,False,False,0,True,C,4,117.96,88.34,14.9,True,117.96,99.03,6124635,21.8,True,64,74,50,24,21.0,34.7,laggard,71.6,False,False,加速,70→72→72,8.4,7.2,1
