code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
HUT,HUT,US,132.38,8.21,110.88,105.28,133.6,19.4,2.4,584.0,0.78,-2.86,False,True,False,45,C,1.0,0.3,0.0,0.5,0.76,1.1,True,0.65,0.78,60,True,False,True,18,True,B,16,134.38,86.82,22.7,True,134.38,109.64,5518990,29.2,True,98,97,97,0,76.2,209.9,leader,77.4,False,False,加速,74→74→77,12.5,6.3,1
DDOG,DDOG,US,277.49,5.23,227.21,205.78,109.6,22.1,4.2,1514.8,1.51,0.79,True,False,False,72,B,1.0,0.3,0.6,1.0,0.92,0.71,True,0.88,1.51,60,True,False,True,17,True,C,16,278.7,203.2,3.8,True,278.7,218.33,7387220,28.4,True,94,94,91,3,83.5,163.3,leader,91.1,False,False,加速,83→88→91,25.1,9.1,1
QCOM,QCOM,US,228.99,8.08,225.89,214.53,103.2,1.4,0.2,6274.1,0.72,-10.23,True,True,True,48,C,1.0,0.3,0.6,0.0,0.84,0.72,False,0.0,0.0,60,False,False,False,0,True,B,15,259.92,191.02,22.9,True,259.92,224.18,29157695,9.1,True,86,89,74,15,41.5,84.6,leader,59.4,False,False,轉弱,68→70→59,-1.9,-6.2,1
SMCI,SMCI,US,46.88,6.92,37.35,34.76,66.9,25.5,3.7,1683.8,1.06,-5.25,False,False,False,32,C,1.0,0.0,0.0,0.3,1.39,1.94,False,0.0,0.0,60,True,False,True,18,True,C,15,48.34,29.47,19.0,True,48.34,35.43,46810755,49.8,True,82,84,77,7,59.6,128.3,leader,80.3,False,False,加速,74→80→80,22.8,10.9,1
RIOT,RIOT,US,28.25,5.79,25.46,24.42,99.7,11.0,1.9,438.6,1.05,-4.58,True,False,False,55,B,1.0,0.0,0.6,0.6,1.0,0.77,False,0.0,0.0,60,False,False,False,0,True,B,14,28.84,21.73,16.0,True,28.84,25.14,17999690,18.5,True,93,93,92,1,52.9,138.8,leader,73.7,False,False,維持,75→71→74,4.9,0.6,1
AMD,AMD,US,510.13,5.56,474.35,447.58,117.9,7.5,1.4,17508.0,0.84,-4.18,False,True,False,48,C,1.0,0.3,0.3,0.3,0.77,0.88,False,0.0,0.0,60,False,False,False,0,True,B,13,527.2,393.36,16.2,True,527.2,480.23,39737675,14.1,True,96,96,95,1,63.6,165.1,leader,73.7,False,True,轉弱,77→76→74,2.9,-0.4,1
HUM,HUM,US,328.31,3.92,308.27,290.48,75.1,6.5,1.7,477.4,1.19,3.01,True,False,False,65,B,1.0,0.6,1.0,0.0,0.61,0.41,True,0.56,1.19,60,False,False,False,0,True,B,13,333.31,293.36,5.7,True,333.31,300.31,1640120,4.9,True,88,92,73,19,46.6,101.6,leader,80.1,False,True,加速,77→73→80,7.2,4.1,1
SNDK,SNDK,US,1761.43,7.71,1540.73,1480.95,132.7,14.3,1.9,20405.3,0.69,1.31,False,True,False,40,C,1.0,0.6,0.0,0.0,0.68,1.26,True,0.26,0.69,60,False,False,False,0,True,B,12,1804.0,1277.33,20.2,True,1804.0,1520.0,13920840,21.5,True,99,99,99,0,71.7,234.0,leader,74.4,False,False,加速,70→72→74,10.8,6.1,1
CRDO,CRDO,US,226.1,8.76,204.74,197.55,108.3,10.4,1.2,1359.7,1.87,-0.33,False,False,False,25,C,1.0,0.0,0.0,0.0,1.21,2.71,False,0.0,0.0,60,False,False,False,0,True,B,12,243.21,148.95,29.4,True,243.21,210.08,6824255,37.4,True,91,94,71,23,47.7,157.5,leader,63.9,False,False,維持,66→69→64,2.2,-1.3,1
STX,STX,US,921.26,5.35,824.66,807.6,89.1,11.7,2.2,3228.6,0.83,-2.08,False,True,False,45,C,1.0,0.3,0.0,0.5,0.87,2.3,True,0.62,0.83,60,False,False,False,0,True,B,12,940.79,695.14,17.4,True,940.79,816.98,4019750,13.6,True,97,96,98,-2,56.9,161.6,leader,77.8,False,False,維持,75→74→78,5.8,4.0,1
